"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","V71"
"1",1,1,1,5,1,5,5,1,5,1,5,1,5,5,5,5,5,1,5,5,1,5,5,1,1,5,5,1,5,1,5,5,1,5,1,5,1,5,1,5,5,5,5,1,5,5,5,1,5,5,5,8,3,4,20,14,10,3,16,12,21,20,4,3,19,17,9,5,4,21,"0"
"2",5,5,1,1,1,1,1,5,1,5,1,5,5,5,1,1,5,1,5,1,1,5,5,1,1,1,5,1,5,5,1,5,1,1,1,5,5,1,5,5,1,1,5,1,5,5,1,5,1,1,7,3,4,7,5,13,3,10,5,8,16,15,16,10,10,16,14,12,14,16,"1"
"3",1,5,1,1,1,1,1,5,5,1,1,5,5,5,1,5,1,1,5,1,1,1,1,5,1,5,5,1,1,5,5,1,5,5,5,5,5,5,1,5,1,1,1,1,5,5,1,1,1,1,5,22,4,7,14,19,12,3,17,23,20,10,3,4,22,22,6,4,10,23,"0"
"4",5,1,5,5,1,1,5,5,1,5,1,5,1,1,1,5,1,5,5,1,1,1,5,5,1,1,1,1,5,5,1,5,1,1,1,5,5,1,1,1,5,1,1,5,5,1,1,5,1,5,16,4,4,3,5,5,7,11,15,16,4,14,15,8,6,15,13,7,9,16,"1"
"5",1,5,1,5,5,1,1,1,5,1,5,5,1,1,5,5,1,5,5,5,1,1,5,1,5,5,5,5,5,1,5,1,5,5,5,1,5,5,1,5,1,1,5,5,1,1,1,5,1,5,8,6,4,9,7,7,5,8,15,15,5,5,3,4,18,12,14,5,7,18,"0"
"6",5,5,1,1,5,1,1,1,1,5,5,1,5,5,5,1,5,5,5,1,5,5,1,5,1,5,5,1,1,1,5,5,5,1,5,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,5,17,10,11,5,14,16,16,5,3,9,3,13,13,17,17,9,10,5,17,"1"
"7",5,5,5,1,5,5,1,1,1,5,1,5,1,5,5,1,5,5,5,5,5,5,1,5,5,5,1,1,5,5,1,5,1,1,1,5,5,1,5,1,1,1,1,5,5,1,1,5,1,1,7,4,4,14,11,3,15,18,3,7,5,7,6,20,22,19,23,9,7,23,"0"
"8",5,1,5,5,5,5,1,1,5,5,1,5,1,5,5,5,1,5,5,1,1,1,1,5,5,1,1,1,5,5,5,5,1,5,5,1,1,5,1,5,5,5,5,1,1,1,1,1,5,5,5,10,8,21,18,3,17,19,16,13,5,3,20,22,10,4,14,5,7,22,"0"
"9",1,5,5,1,1,5,5,5,1,5,5,1,1,1,5,5,5,1,1,5,5,1,1,5,5,5,1,1,5,1,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,1,5,1,1,5,5,11,8,6,3,15,8,7,3,14,19,10,5,3,4,4,8,10,8,19,"0"
"10",5,5,5,1,1,5,1,1,1,5,5,1,5,5,1,1,5,5,1,5,1,1,5,5,1,1,1,5,5,5,1,1,1,5,1,5,1,1,5,1,5,1,1,1,5,5,5,1,1,5,7,5,4,5,3,3,15,16,17,18,5,7,3,12,10,8,4,16,16,18,"0"
"11",5,5,1,5,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,5,1,5,1,5,5,1,1,1,5,5,1,1,5,1,1,1,1,5,5,1,1,1,1,1,1,5,5,5,1,1,4,23,13,16,5,5,17,11,18,15,5,8,9,20,22,19,23,9,7,23,"0"
"12",5,5,1,1,5,1,5,1,1,1,1,5,5,1,1,5,5,5,1,5,1,5,1,1,1,5,1,1,1,5,1,1,1,1,1,1,5,1,5,1,5,5,1,1,1,5,5,1,1,5,13,12,5,5,6,14,5,17,15,18,5,8,7,13,13,11,7,10,10,18,"0"
"13",1,5,5,1,5,5,5,5,1,1,1,5,1,5,5,1,5,5,5,5,1,1,5,1,1,1,1,5,1,5,5,5,1,5,1,1,1,1,5,1,1,5,5,5,1,1,1,5,5,5,5,4,16,5,11,5,6,11,7,5,6,7,17,17,5,18,21,7,7,21,"0"
"14",5,1,5,1,5,5,5,1,5,1,1,5,1,1,5,5,1,5,1,1,5,1,1,1,1,1,5,5,5,1,1,5,5,1,1,1,1,1,1,5,1,1,5,1,1,5,5,5,5,1,5,5,14,3,14,19,3,5,14,17,20,7,6,6,8,6,19,17,4,20,"0"
"15",1,5,1,1,5,1,5,1,1,5,5,5,5,5,5,1,1,5,1,1,5,5,5,1,5,1,1,5,5,5,5,5,1,1,5,1,1,1,1,5,1,1,1,5,1,1,5,5,1,1,7,10,3,4,5,5,9,6,3,6,14,15,11,12,5,12,10,11,13,15,"1"
"16",5,1,5,1,5,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,5,1,1,1,5,5,1,5,1,1,1,1,1,1,1,5,1,5,5,5,5,1,1,1,5,1,1,5,1,1,7,3,18,4,11,14,18,17,9,15,17,5,7,6,4,21,19,9,7,21,"0"
