"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","V71"
"1",1,1,10,10,10,1,10,10,1,10,1,1,10,1,10,1,1,1,1,1,10,10,1,10,1,1,1,10,1,10,1,1,10,10,10,10,1,1,10,10,1,1,1,10,1,10,10,1,10,10,9,4,7,5,8,7,5,18,4,6,11,13,6,10,5,17,10,18,5,18,0
"2",10,10,10,1,1,10,10,10,10,1,1,10,10,10,10,10,10,10,1,1,10,10,1,10,1,10,10,1,1,1,1,1,1,10,1,10,1,10,1,10,10,1,1,10,1,10,10,10,1,10,6,8,18,6,7,4,14,4,6,11,13,15,7,10,9,12,17,2,16,18,0
"3",10,10,10,1,1,10,10,1,1,1,1,1,10,1,10,1,1,1,10,1,1,10,1,1,1,1,10,1,10,10,1,1,1,10,10,1,10,10,1,10,10,10,1,1,10,1,1,1,1,10,4,7,7,19,12,9,11,4,6,4,14,18,8,11,10,13,19,2,20,20,0
"4",10,10,10,1,10,10,1,1,10,1,1,10,1,10,10,1,1,1,1,10,10,10,1,1,10,1,10,10,1,1,10,10,1,10,10,1,1,10,1,1,10,10,10,10,10,1,10,10,10,10,9,4,6,6,2,18,4,7,5,8,4,19,17,6,20,7,10,5,5,20,0
"5",10,10,1,10,10,10,10,1,10,1,1,10,10,1,1,1,10,10,10,1,1,1,1,10,10,10,1,1,1,1,10,1,10,1,1,10,1,1,10,10,10,1,10,1,1,10,1,1,10,10,7,4,7,4,4,9,8,5,19,11,15,4,13,16,15,18,19,12,9,19,0
"6",10,10,1,10,1,1,10,1,1,1,1,1,10,1,1,1,1,10,10,1,10,10,10,1,1,10,10,1,1,1,10,10,1,1,10,10,10,10,10,1,10,10,1,10,1,1,10,1,10,1,4,16,15,7,14,6,11,5,16,11,13,15,14,17,5,14,11,6,9,17,1
"7",1,10,1,1,10,1,10,10,10,10,10,1,10,1,10,1,1,1,1,1,1,1,10,10,1,10,1,10,1,1,10,10,1,1,10,1,10,10,10,1,1,1,1,1,1,10,10,10,1,10,8,4,5,6,2,8,22,21,4,19,21,17,13,12,15,14,11,4,5,22,0
"8",1,10,10,10,10,1,1,10,10,1,10,1,1,1,1,10,10,10,10,10,1,10,1,1,10,10,1,1,1,1,10,1,10,10,10,10,10,1,10,1,1,1,10,10,1,10,10,1,1,10,6,6,4,8,5,14,10,8,19,16,20,22,6,7,4,11,14,2,5,22,0
"9",10,1,1,10,10,1,10,10,1,10,10,1,1,1,10,10,1,10,10,1,10,10,1,1,1,1,1,1,10,10,1,10,10,10,10,10,1,10,10,1,10,1,1,1,1,1,1,10,1,10,6,4,15,21,11,20,5,14,4,5,4,6,10,7,9,12,17,2,14,21,0
"10",10,1,1,1,1,1,1,10,1,1,1,10,1,10,1,1,1,10,10,1,1,10,10,10,1,10,1,10,1,10,10,1,10,1,10,1,10,10,10,1,1,10,1,10,1,10,1,10,1,10,17,9,7,7,5,2,12,5,17,17,16,12,11,14,17,20,4,6,9,20,0
"11",10,10,1,10,10,1,10,1,1,10,10,1,1,1,1,1,10,10,10,1,1,1,1,10,1,1,10,10,10,10,1,1,1,10,10,1,1,1,1,10,1,1,1,10,10,1,10,1,1,1,4,11,7,6,16,5,14,4,6,20,16,4,6,9,13,10,2,15,14,20,0
"12",1,1,1,10,10,1,10,1,10,10,1,10,10,10,1,10,10,1,1,10,10,1,1,10,10,10,1,10,1,1,1,1,1,10,10,10,1,10,10,10,1,1,10,10,10,1,1,10,10,10,14,16,15,17,12,7,2,4,5,4,4,12,8,7,4,13,16,9,6,17,1
"13",10,1,10,1,10,1,1,10,1,1,1,1,10,1,10,10,1,1,10,10,1,1,1,1,1,1,10,10,10,1,10,10,1,1,10,1,1,10,10,10,1,10,10,10,1,1,10,1,10,10,14,5,12,12,6,8,5,17,17,8,16,10,4,14,15,18,17,5,2,18,0
"14",1,1,10,1,10,10,1,10,1,10,10,10,1,10,10,10,1,10,10,1,1,1,1,1,1,10,1,1,1,1,1,10,1,10,10,1,10,10,10,1,10,10,1,10,10,10,1,10,10,10,12,8,4,4,5,14,2,20,23,21,9,7,5,17,19,12,9,5,5,23,0
"15",1,10,1,1,1,1,1,10,10,10,10,10,1,1,10,1,1,1,10,1,10,1,1,1,10,10,10,10,10,1,1,1,1,10,10,1,10,10,10,1,10,10,10,1,1,10,10,1,10,10,15,5,6,4,4,5,14,16,15,5,4,18,5,19,10,7,10,13,5,19,0
"16",10,10,1,1,10,1,1,1,1,10,10,1,1,10,10,10,10,1,1,10,10,10,1,10,1,10,1,10,1,1,10,1,10,1,1,10,10,1,1,1,10,1,1,10,10,1,10,1,10,10,6,4,6,7,8,6,5,5,4,5,12,13,7,14,15,14,11,5,2,15,1
"17",10,1,1,10,1,1,1,10,1,10,10,1,10,10,10,10,10,10,1,1,10,1,10,10,10,10,10,10,1,10,1,1,10,1,1,10,10,1,10,10,10,1,10,10,10,10,1,1,1,10,8,12,10,4,7,5,15,9,17,4,5,11,4,7,5,5,13,2,16,17,1
"18",1,1,10,1,1,10,10,10,1,1,10,10,1,1,1,10,10,10,10,1,10,1,1,10,1,10,10,10,10,10,10,10,10,10,1,10,1,1,1,1,1,1,10,10,1,10,10,1,10,1,8,5,4,8,5,6,17,8,5,8,8,6,17,16,10,10,7,2,5,17,1
"19",10,1,10,10,10,10,1,1,10,1,10,10,1,10,1,1,1,1,10,10,1,1,1,10,10,10,10,1,1,1,1,1,1,1,1,10,10,10,1,1,10,10,1,10,10,10,1,10,1,10,6,8,8,5,7,2,14,4,5,14,16,14,16,7,4,9,12,16,19,19,0
"20",10,1,1,10,1,10,10,1,1,1,1,1,10,1,10,10,10,1,1,1,1,1,1,10,1,10,1,10,1,10,10,1,10,1,10,10,1,10,10,10,10,10,1,10,1,1,10,10,10,10,6,8,12,8,6,2,16,15,17,19,14,10,4,14,10,5,9,12,5,19,0
"21",1,1,1,10,10,10,1,10,1,1,1,10,10,10,1,10,10,1,1,1,1,10,10,1,10,1,1,10,10,1,10,1,1,10,1,10,10,1,10,1,10,10,1,10,1,10,1,1,10,10,6,4,7,6,5,15,13,17,9,12,14,14,12,9,9,12,6,2,9,17,1
"22",1,10,1,1,1,10,1,1,10,10,10,1,10,1,1,1,10,1,1,1,1,1,1,10,1,10,1,10,10,10,10,1,1,1,1,10,10,10,1,10,10,10,10,1,10,1,1,1,1,1,10,6,8,5,8,6,13,4,14,16,4,11,11,11,5,5,9,6,16,16,1
"23",10,1,10,1,1,10,10,1,10,10,10,1,10,10,10,10,10,1,1,10,10,10,10,10,10,1,10,10,1,10,1,10,10,10,10,1,10,10,10,1,10,1,1,10,10,1,10,1,10,10,4,4,7,14,5,5,4,16,7,5,11,11,8,13,18,12,13,5,2,18,0
"24",10,1,1,1,1,10,1,10,1,10,10,1,1,1,1,10,1,1,10,10,1,1,1,10,1,1,1,10,1,1,10,10,1,1,1,1,10,1,10,10,1,10,1,1,1,10,1,10,1,10,4,4,5,9,2,5,16,6,8,13,21,10,13,6,9,19,18,21,20,21,0
"25",1,10,10,10,1,1,1,1,10,1,1,10,10,1,10,10,1,10,1,1,10,1,10,10,1,10,1,1,10,1,1,10,1,10,10,1,10,10,1,1,1,1,1,10,10,1,1,1,10,1,20,20,18,4,7,14,4,12,8,6,5,12,9,9,19,15,14,2,4,20,0
"26",10,1,1,1,10,1,1,1,1,10,1,10,1,10,1,1,10,10,10,10,1,1,1,10,1,10,1,10,10,10,10,10,10,10,1,1,1,10,1,10,10,1,1,10,1,10,10,1,10,1,15,9,7,4,5,6,8,5,4,8,6,13,13,11,18,18,7,2,5,18,0
"27",1,10,10,1,10,10,10,10,1,10,10,1,10,1,1,10,10,10,10,10,1,1,1,1,1,1,10,10,10,10,1,1,1,1,1,1,10,1,1,1,1,10,10,10,1,10,1,10,1,10,9,4,4,12,5,16,17,6,13,18,12,4,6,9,12,15,18,2,17,18,0
"28",1,1,10,1,10,10,10,1,10,10,10,1,1,1,10,1,10,10,10,1,1,10,1,1,1,1,1,1,10,10,10,10,1,1,1,10,10,1,1,10,1,10,1,10,1,10,1,10,1,10,6,4,5,21,2,19,15,20,8,7,17,10,14,8,5,10,13,8,5,21,0
"29",10,10,10,10,1,10,1,10,1,10,10,1,1,10,10,1,1,10,1,10,1,10,1,1,10,1,10,1,1,10,10,10,10,10,1,10,10,10,10,1,1,1,10,1,10,1,10,1,1,10,6,4,4,5,8,15,10,5,4,7,8,6,5,9,14,10,13,8,12,15,1
"30",10,1,1,1,10,10,10,10,10,1,1,10,1,1,10,1,1,10,10,10,1,10,1,1,10,10,1,1,1,10,1,10,10,10,10,10,10,10,1,1,1,1,1,10,1,1,10,1,10,1,20,4,4,12,4,6,5,5,15,13,6,7,4,16,21,14,7,6,12,21,0
"31",1,1,1,1,1,10,1,1,10,10,10,1,10,10,10,1,1,10,10,10,10,10,1,1,10,1,1,10,1,10,1,10,1,1,1,10,10,1,1,1,1,1,10,1,10,1,10,10,1,1,6,4,8,9,2,4,18,7,7,10,14,5,13,7,4,17,16,10,11,18,0
"32",1,10,10,10,1,1,10,1,10,1,1,10,1,10,1,1,1,10,1,10,10,1,1,1,1,10,10,1,10,10,1,10,10,10,10,10,10,1,10,10,10,10,10,10,10,1,1,10,10,1,12,16,19,5,4,21,6,5,2,5,8,4,4,6,5,5,18,10,13,21,0
"33",1,10,1,1,1,10,1,10,1,1,1,10,10,1,10,10,10,10,10,10,10,10,10,1,1,10,1,10,1,1,10,10,10,10,1,1,10,1,10,1,1,10,1,10,1,10,1,10,10,10,15,4,11,12,11,9,5,8,11,5,9,7,6,9,15,12,10,5,2,15,1
"34",1,1,10,10,1,1,10,10,1,10,1,1,1,1,10,1,1,10,10,1,1,1,1,10,1,1,1,10,10,1,10,10,10,1,10,1,10,1,10,1,1,1,1,1,10,10,1,10,10,10,4,4,7,18,2,11,4,5,10,4,4,15,11,6,9,16,10,19,5,19,0
"35",1,1,1,10,1,1,10,10,10,1,10,10,1,1,10,10,10,1,10,10,1,10,1,10,1,1,10,10,1,1,10,1,10,10,1,10,1,10,10,10,10,1,1,1,1,10,1,1,10,1,14,5,19,19,7,7,5,5,4,6,8,12,10,5,15,14,11,2,12,19,0
"36",1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,10,10,1,10,10,1,1,10,1,10,1,10,1,1,10,1,1,1,10,1,10,1,10,10,10,1,1,10,1,1,1,10,4,6,10,9,4,14,15,7,17,12,16,6,13,14,12,15,10,2,7,17,1
"37",10,10,1,10,1,10,10,10,10,10,10,1,1,10,1,1,10,10,10,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1,10,10,1,10,1,1,10,1,1,1,10,1,10,1,1,1,4,4,5,9,8,4,7,16,18,17,21,7,21,21,8,11,8,13,4,21,0
"38",10,1,1,10,1,1,10,10,10,1,10,10,10,10,1,10,1,1,10,1,10,10,10,10,1,1,10,10,10,10,1,1,1,10,1,10,1,1,10,10,10,10,1,10,10,10,1,1,1,1,7,8,15,13,14,7,5,7,5,15,13,4,13,14,5,6,2,11,4,15,1
"39",10,1,1,10,1,10,1,10,1,1,1,10,1,1,10,10,10,1,10,10,1,10,1,10,1,10,10,1,10,10,1,10,1,10,1,10,1,10,1,1,1,10,10,1,1,10,10,10,1,1,5,9,9,4,17,18,2,5,16,13,14,14,14,8,11,9,12,15,16,18,0
"40",10,10,1,10,10,10,10,10,1,10,1,1,10,10,10,10,10,1,10,10,1,10,1,10,10,10,1,1,10,10,1,1,1,10,1,10,1,1,10,1,1,10,1,1,10,10,10,1,1,1,6,4,17,4,7,15,5,9,25,17,8,27,7,4,10,13,2,14,11,27,0
"41",1,10,1,1,10,1,1,1,1,1,10,10,10,10,10,1,10,1,1,1,10,10,10,1,1,10,10,1,1,10,1,10,10,1,1,10,10,10,10,10,1,10,10,1,10,10,1,10,1,1,6,12,15,17,10,5,2,5,15,16,13,17,5,12,16,5,5,17,16,17,1
"42",10,10,1,1,10,1,1,1,1,10,10,10,10,10,1,10,1,10,10,10,10,1,10,10,1,1,10,10,1,10,10,1,1,1,1,10,10,10,1,1,10,10,10,1,1,1,10,1,1,10,6,9,14,16,4,9,5,14,21,19,4,15,16,6,9,5,2,15,11,21,0
"43",1,10,1,1,10,1,10,10,10,1,10,10,10,1,10,1,10,1,10,10,1,1,1,1,10,1,1,10,1,10,1,1,1,1,10,10,10,1,10,1,10,10,1,10,10,1,1,10,10,1,4,8,14,4,4,2,10,18,13,5,7,9,17,13,15,16,5,8,11,18,0
"44",1,1,10,10,1,1,1,1,10,1,10,10,1,1,1,10,1,10,10,10,1,1,1,10,1,1,1,1,10,10,10,10,1,10,10,10,1,1,10,1,10,1,1,10,1,10,1,1,1,1,6,8,17,10,4,24,23,22,4,20,4,6,23,22,9,12,2,15,14,24,0
"45",1,10,10,10,1,1,10,10,10,10,10,10,1,10,10,10,10,1,10,1,1,10,1,1,10,10,1,10,10,10,10,1,1,10,1,10,1,1,1,1,10,1,10,10,1,1,1,1,10,10,14,5,18,20,12,4,12,15,4,13,7,11,9,6,20,17,5,8,2,20,0
"46",10,10,1,10,1,10,1,1,1,1,1,1,10,1,10,1,10,1,1,10,1,10,1,10,1,1,10,10,1,10,10,1,10,1,10,1,10,10,1,1,1,1,10,1,1,10,10,1,1,1,19,21,7,19,4,22,6,13,5,4,10,12,15,14,18,19,2,16,17,22,0
"47",1,10,10,10,10,10,10,1,1,10,1,1,1,10,10,10,1,1,1,1,10,10,1,10,10,10,1,10,1,10,10,1,10,10,10,10,1,10,1,10,1,10,1,10,10,1,10,10,1,10,6,4,6,17,6,2,16,15,16,4,4,4,6,12,9,13,16,14,15,17,1
"48",10,10,1,10,10,10,10,1,10,10,10,10,10,1,1,1,1,10,1,10,10,1,1,10,1,10,1,1,1,10,1,10,10,10,10,10,1,10,10,10,10,10,1,1,10,1,10,1,10,10,12,4,13,14,8,11,13,14,4,4,15,15,6,9,6,13,16,5,8,16,1
"49",10,1,1,1,1,1,10,1,1,1,10,10,10,10,10,1,10,1,1,1,1,10,10,1,1,1,10,10,1,10,1,1,1,10,10,10,1,10,1,10,1,1,10,1,10,10,10,10,10,10,9,6,8,7,2,9,7,4,4,6,4,14,10,10,7,11,13,15,5,15,1
"50",1,10,1,1,10,1,10,1,10,10,1,1,10,10,1,10,10,1,1,1,1,1,1,10,10,10,10,10,10,1,10,1,10,1,10,10,1,1,10,1,1,1,1,1,10,1,10,10,10,10,6,4,4,10,2,4,8,7,4,4,11,13,16,15,7,21,13,8,5,21,0
"51",10,1,10,10,10,10,1,10,1,1,1,10,10,1,1,1,1,10,1,1,1,10,10,10,10,1,1,10,1,1,10,10,10,10,1,1,1,1,10,1,1,1,1,1,1,10,1,10,1,10,4,6,2,4,7,9,10,14,12,6,13,17,9,18,5,12,4,8,5,18,0
"52",10,10,1,1,10,1,10,10,1,1,1,1,10,1,1,1,10,1,10,1,10,1,1,10,10,1,1,10,1,10,10,10,10,1,10,1,10,10,10,1,10,10,1,10,1,10,1,1,1,1,4,10,11,4,19,6,2,14,15,15,7,5,6,6,9,16,17,16,17,19,0
"53",1,1,1,1,1,1,1,10,10,1,10,10,1,10,1,1,1,10,1,10,1,1,10,10,10,1,1,1,1,1,10,10,10,1,1,1,10,10,1,1,1,10,10,10,1,1,1,10,10,1,6,5,4,20,2,21,4,17,22,18,12,16,9,12,7,10,5,18,12,22,0
"54",1,10,1,10,1,10,1,10,1,1,1,1,10,10,1,10,10,10,10,1,10,10,1,1,1,1,10,1,1,1,1,10,10,10,10,10,10,10,1,10,1,10,10,1,1,1,1,10,1,1,5,9,9,10,2,4,9,7,9,11,4,11,11,5,13,14,10,5,14,14,1
"55",10,10,1,1,10,10,10,10,1,10,10,1,1,1,1,1,10,10,1,10,1,1,1,10,1,10,10,1,10,1,1,10,1,10,1,1,10,10,10,1,1,1,10,10,1,10,1,10,10,1,11,11,4,4,5,9,2,12,13,4,12,14,4,9,6,12,13,12,13,14,1
"56",1,10,1,10,1,1,10,1,10,10,10,1,1,10,10,10,10,10,1,10,10,10,1,1,10,10,10,10,1,1,10,10,1,10,10,1,10,10,10,10,10,10,1,10,10,10,10,10,1,10,20,17,16,18,5,6,4,7,5,4,4,21,7,10,6,5,5,2,5,21,0
"57",10,10,10,10,1,1,1,1,1,10,1,10,10,1,1,1,10,1,1,10,10,10,10,10,1,10,10,10,1,1,1,10,1,10,1,1,1,1,1,1,10,10,1,1,1,1,10,1,10,10,12,14,7,8,16,19,5,10,16,18,18,6,13,10,15,14,4,5,2,19,0
"58",1,10,10,1,10,10,10,10,10,1,10,10,1,1,1,10,1,1,1,10,1,10,1,10,1,1,10,1,10,10,10,1,10,1,10,10,1,10,1,1,10,10,1,10,1,10,1,10,1,10,6,4,14,2,4,19,16,12,4,5,4,17,15,11,12,7,10,10,7,19,0
"59",1,1,1,1,10,1,10,1,10,1,10,10,1,1,1,10,1,1,10,1,1,10,10,1,1,1,1,1,10,10,10,10,10,10,10,10,10,1,1,1,10,1,10,10,1,1,1,10,10,1,6,9,9,13,5,7,8,4,5,16,16,6,10,7,14,15,16,2,17,17,1
"60",10,10,1,10,1,10,10,10,1,10,10,1,1,10,1,10,10,1,1,1,10,1,10,1,10,10,1,1,1,10,10,1,10,10,10,10,10,10,10,10,10,10,1,1,10,10,1,10,10,1,8,4,10,5,16,2,12,13,12,4,9,9,6,9,6,12,15,15,14,16,1
"61",10,10,10,10,1,1,1,1,10,10,1,1,1,10,10,1,10,10,10,10,1,10,1,1,10,10,1,1,10,10,1,10,1,1,10,10,10,1,10,1,10,1,1,10,1,10,1,10,1,10,6,7,11,5,2,4,5,23,10,7,9,19,17,20,19,10,13,13,16,23,0
"62",1,10,1,1,1,1,10,10,10,10,10,10,10,10,10,1,1,10,1,10,1,1,1,10,10,10,10,10,10,10,1,1,10,10,10,1,10,10,10,1,10,10,10,10,1,1,10,1,1,10,7,5,14,14,4,11,14,4,11,7,6,10,4,7,4,5,5,2,8,14,1
"63",10,1,1,10,1,10,1,1,10,10,1,10,10,10,10,1,10,1,10,10,1,10,1,10,1,10,1,10,10,10,10,1,1,10,1,10,10,10,10,10,1,1,10,10,10,10,10,10,1,1,6,9,5,5,2,4,5,14,10,19,17,19,11,10,16,17,6,7,12,19,0
"64",10,1,10,10,10,10,10,1,1,1,1,10,10,1,1,1,10,1,1,10,1,10,10,1,10,10,10,10,1,10,10,1,1,10,10,10,1,1,1,1,10,10,10,10,1,1,1,1,10,1,7,5,13,7,4,6,16,6,9,17,14,4,6,13,14,4,5,6,9,17,1
"65",1,10,10,1,10,10,1,10,10,1,10,10,10,1,10,10,10,10,1,1,1,10,1,1,1,10,1,10,10,10,1,10,1,10,10,1,1,10,1,1,1,1,10,10,10,1,10,10,10,10,5,4,8,13,2,13,14,24,22,6,4,9,5,6,11,8,9,12,5,24,0
"66",10,1,1,1,1,10,10,10,10,10,1,1,1,10,10,1,10,10,1,10,10,10,10,10,10,1,1,10,1,1,10,10,10,1,10,10,10,10,1,1,10,1,10,1,10,1,10,10,10,10,4,8,16,4,19,2,4,8,7,11,11,11,6,10,11,9,6,7,4,19,0
"67",1,1,1,1,1,10,10,10,10,10,10,1,1,1,1,10,1,1,10,10,1,10,1,10,10,10,10,10,1,10,10,1,1,1,1,10,1,10,10,1,1,10,1,10,10,10,10,1,10,10,4,8,17,4,5,9,12,11,5,4,8,12,10,15,14,14,17,5,2,17,1
"68",10,10,1,1,10,1,10,1,10,1,1,10,1,1,10,1,10,1,10,1,1,1,10,10,1,10,1,1,1,1,10,1,1,1,10,1,1,10,1,10,10,1,10,10,1,1,1,10,10,10,13,12,14,19,2,4,8,7,21,7,9,19,21,15,16,7,4,16,13,21,0
"69",1,10,1,10,10,10,10,1,10,1,10,10,1,10,10,10,10,1,10,1,10,1,1,10,10,10,1,10,10,1,10,1,1,1,10,1,10,10,10,1,1,10,10,1,1,1,1,10,1,1,9,7,4,7,4,14,7,5,4,5,16,19,16,17,18,19,2,18,19,19,0
"70",10,1,10,10,10,1,10,1,1,10,10,10,10,10,10,1,10,10,10,1,1,10,10,10,1,10,1,1,1,1,10,1,10,1,1,1,1,1,1,1,10,1,1,1,10,10,1,10,10,10,4,4,7,2,5,9,14,4,12,15,19,21,8,16,19,10,7,5,8,21,0
"71",10,10,1,1,1,10,1,10,10,1,10,1,1,10,10,1,10,10,10,10,1,10,10,10,1,1,10,1,1,10,1,1,10,1,1,1,1,1,1,1,1,1,1,10,1,1,1,10,10,10,15,6,4,12,2,5,7,8,11,13,13,8,7,15,15,7,4,9,6,15,1
"72",1,1,10,1,1,10,1,10,1,10,10,1,10,1,10,10,10,1,10,10,1,1,1,1,10,1,1,1,10,1,1,10,10,1,1,10,1,10,10,1,1,10,10,1,10,10,1,10,10,1,8,9,6,4,12,4,5,7,11,13,22,16,20,5,13,16,14,2,13,22,0
"73",1,1,1,10,1,1,1,10,10,1,10,1,1,10,1,1,10,10,10,1,1,10,1,1,1,10,10,1,1,1,10,1,1,1,1,10,1,10,1,1,10,1,10,1,1,10,1,1,1,1,7,13,13,8,5,11,4,7,13,22,20,22,10,13,20,19,11,5,17,22,0
"74",10,10,10,1,1,1,10,1,1,10,1,10,1,10,1,10,10,10,10,10,1,1,10,1,10,10,1,1,10,1,10,1,10,1,10,1,1,1,1,10,1,10,10,10,10,10,10,1,10,1,7,7,5,4,5,14,11,5,7,12,14,8,4,11,20,18,5,2,5,20,0
"75",1,10,1,1,10,10,1,1,1,1,10,1,10,10,1,10,1,10,10,1,1,1,1,10,1,10,1,10,10,1,10,10,10,10,1,10,10,1,10,10,10,1,1,10,1,1,10,1,10,10,6,6,8,8,13,12,4,12,13,14,4,6,10,8,5,11,14,5,2,14,1
"76",1,1,1,1,1,10,10,10,1,1,1,10,10,10,10,10,1,10,1,10,1,10,10,1,1,1,10,10,10,1,1,10,1,1,1,10,1,1,1,1,10,10,1,1,1,1,10,10,10,1,8,4,4,14,19,18,4,16,9,6,13,4,15,14,9,12,15,2,14,19,0
"77",1,10,1,10,1,1,1,10,1,10,1,1,1,10,1,10,10,1,10,1,1,10,1,10,10,10,1,10,10,1,10,1,1,10,10,10,10,1,1,10,1,1,10,10,1,10,1,10,10,10,6,10,10,10,5,9,2,13,11,8,4,4,16,14,5,13,16,4,5,16,1
"78",1,10,10,10,1,1,1,1,10,1,10,1,1,10,10,10,1,10,1,1,10,10,1,1,1,1,10,10,1,1,1,1,10,10,10,1,1,1,10,1,1,10,1,10,1,1,10,1,10,1,4,6,15,6,5,7,4,11,4,9,7,6,9,10,9,20,25,2,22,25,0
